ticker,company_name,sector,graham_status,graham_category,bazin_status,fcd_status,dividend_years,annual_financial_years,quarterly_periods,field_alerts,endpoint_errors
ABEV3,AMBEV S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
EMBJ3,EMBRAER S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
EQTL3,EQUATORIAL S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
ENEV3,ENEVA S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
CPLE3,COMPANHIA PARANAENSE DE ENERGIA COPEL,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
VBBR3,VIBRA ENERGIA S/A,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
RDOR3,REDE D'OR SÃO LUIZ S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
RENT3,LOCALIZA RENT A CAR SA,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
UGPA3,ULTRAPAR PARTICIPAÇÕES SA,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
GGBR4,GERDAU S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
BBSE3,BB SEGURIDADE PARTICIPAÇÕES S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
VIVT3,TELEFÔNICA BRASIL S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
RADL3,RAIA DROGASIL S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
BBDC3,BANCO BRADESCO S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
CSMG3,COMPANHIA DE SANEAMENTO DE MINAS GERAIS,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
TIMS3,TIM S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
RAIL3,RUMO S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
ENGI11,ENERGISA SA,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
TOTS3,TOTVS S.A,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
MOTV3,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
KLBN11,KLABIN S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
CXSE3,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
LREN3,LOJAS RENNER SA,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
ALOS3,ALLOS S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.debt:zero|fcd.scaleAndCurrency:missing,
ISAE4,ISA ENERGIA BRASIL S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
MBRF3,MARFRIG GLOBAL FOODS SA,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
ASAI3,SENDAS DISTRIBUIDORA S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
SMFT3,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
EGIE3,ENGIE BRASIL ENERGIA S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
PSSA3,PORTO SEGURO SA,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.debt:zero|fcd.scaleAndCurrency:missing,
SANB11,BANCO SANTANDER (BRASIL) S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.debt:zero|fcd.scaleAndCurrency:missing,
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
BRAV3,BRAVA ENERGIA S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
CPFE3,CPFL ENERGIA SA,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
CMIN3,CSN MINERAÇÃO S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
